id,artist,title,date_added
433,Bajaga,"Vidi Šta Su Mi Uradili Od Pesme Mama","2018-11-23 07:20:40.316538"
434,Desireless,"Voyage Voyage","2018-11-23 07:17:39.848843"
435,"Rag'N' Bone Man",Human,"2018-11-23 07:14:39.394655"
436,"Simply Red",Stars,"2018-11-23 07:11:38.928549"
437,"Fine Young Cannibals","She Drives Me Crazy","2018-11-23 07:11:38.925125"
438,"Clean Bandit Feat. Demi Lovato",Solo,"2018-11-23 07:01:34.235023"
439,"Maggie Reilly","Everytime We Touch","2018-11-23 07:01:04.140546"
440,Madonna,"Material Girl","2018-11-23 06:22:50.734766"
441,"Maksine Vrecko","Nocem Besed","2018-11-23 02:15:19.049114"
442,"Mr Mister",Kyrie,"2018-11-23 02:15:19.047217"
443,"Alenka Godec","Življenje Je Lepo","2018-11-22 22:22:19.809288"
444,"Lionel Richie","Say You Say Me","2018-11-22 22:22:19.789261"
445,"Rod Stewart","Downtown Train","2018-11-22 20:22:03.702306"
446,"Frankie Goes To Hollywood",Relax,"2018-11-22 20:22:03.699692"
447,U2,One,"2018-11-22 18:20:36.751685"
448,"Peter Lovsin","Sam En Majhen Poljub","2018-11-22 18:18:36.451275"
449,Madonna,"American Pie","2018-11-22 18:13:53.918877"
450,"Modern Talking","You'Re My Heart You'Re My Soul","2018-11-22 18:13:53.918254"
451,"Paul Mccartney Michael Jackson","Say Say Say","2018-11-22 16:12:26.630392"
452,Zmelkoow,Bit,"2018-11-22 16:09:26.120191"
453,Dido,"Life For Rent","2018-11-22 16:06:25.629599"
454,Nek,"Laura Non Ce","2018-11-22 16:02:55.094435"
455,Alphaville,"Big In Japan","2018-11-22 16:02:25.017619"
456,"Zara Larsson","Lush Life","2018-11-22 15:20:13.386399"
457,Boyzone,Words,"2018-11-22 15:16:12.744287"
458,"Bryan Adams","Summer Of '69","2018-11-22 15:11:11.847610"
459,"Sophie B. Hawkins","Right Beside You","2018-11-22 15:07:11.123328"
460,"Tina Turner","Steamy Windows","2018-11-22 15:03:10.421862"
